X,Y,Z,energy,LJ,Coulomb_ewald,Coulomb_real,Coulomb_fourier,alpha,tail_correction,k_vec
0.2517253333333338,1.762063333333334,6.44162,6813.86608348,1875.25735215,4938.60873133,4792.82402854,145.78470279,0.341429,-21026.51913251,13;13;11
0.25172533333333386,1.762063333333334,6.956949600000001,8785.79689831,3922.27533563,4863.52156269,4507.17206333,356.34949935,0.341429,-21026.51913251,13;13;11
0.25172533333333386,1.762063333333334,7.472279200000001,8457.17931313,6524.52157529,1932.65773784,1534.83041569,397.82732215,0.341429,-21026.51913251,13;13;11
0.2517253333333339,1.762063333333334,7.9876088,4167.67568964,6009.20408918,-1841.52839954,-2133.4451287,291.91672916,0.341429,-21026.51913251,13;13;11
0.2517253333333339,1.762063333333334,8.502938400000001,-1320.86762145,3180.57206775,-4501.4396892,-4592.90229494,91.46260573,0.341429,-21026.51913251,13;13;11
0.25172533333333397,1.762063333333334,9.018268,-4632.77558305,802.21474334,-5434.99032639,-5297.58922687,-137.40109952,0.341429,-21026.51913251,13;13;11
0.251725333333334,1.7620633333333342,9.5335976,-6039.6955757,-664.95443295,-5374.74114275,-5042.56240556,-332.17873719,0.341429,-21026.51913251,13;13;11
0.251725333333334,1.7620633333333342,10.048927200000001,-6495.51506573,-859.31271315,-5636.20235258,-5190.57275442,-445.62959816,0.341429,-21026.51913251,13;13;11
0.2517253333333341,1.7620633333333342,10.5642568,-5672.54979032,1599.11411104,-7271.66390135,-6819.50506629,-452.15883506,0.341429,-21026.51913251,13;13;11
0.2517253333333341,1.7620633333333342,11.0795864,25672.13639739,36650.17457548,-10978.03817809,-10626.5882208,-351.44995728,0.341429,-21026.51913251,13;13;11
0.25172533333333413,1.7620633333333342,11.594916000000001,1008690.95471191,1027207.17034584,-18516.21563393,-18345.72079886,-170.49483506,0.341429,-21026.51913251,13;13;11
0.25172533333333413,1.7620633333333342,12.1102456,-19096.74834254,16556.83120207,-35653.57954461,-35691.61932374,38.03977913,0.341429,-21026.51913251,13;13;11
0.2517253333333342,1.7620633333333342,12.6255752,118497.73090617,187322.47569529,-68824.74478912,-69029.43440816,204.68961904,0.341429,-21026.51913251,13;13;11
0.2517253333333334,2.26551,0.2576648,1933611.89786089,2027723.94289672,-94112.04503583,-94925.93080019,813.88576436,0.341429,-21026.51913251,13;13;11
0.25172533333333347,2.26551,0.7729944,10705600.91428321,10720152.38430425,-14551.47002104,-15278.21315363,726.74313259,0.341429,-21026.51913251,13;13;11
